host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
a few days or more,0,81,FALSE,6,6,TRUE,Geylang,Central Region,1.31642,103.88282,bed and breakfast,Private room,8,1,8,269,1,1125,1,1,1125,1125,1,1125,30,60,90,365,1,0,0,100,10,10,10,10,10,10,FALSE,6,0,3,3,0.08,47,1000,282,2,Shared,5,14,399
within a few hours,96,49,FALSE,33,33,TRUE,Kallang,Central Region,1.32087,103.86409,condominium,Entire home/apt,6,3,3,238,5,1125,5,5,1125,1125,5,1125,30,60,90,181,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,43,43,0,0,NA,43,1000,371,2,Other,8,16,1914
within an hour,86,79,FALSE,51,51,TRUE,Bukit Merah,Central Region,1.27283,103.83528,serviced apartment,Entire home/apt,2,1,1,72,2,1125,2,2,1125,1125,2,1125,29,59,89,364,5,2,0,67,5,9,8,7,5,5,FALSE,54,48,6,0,0.38,43,543,NA,1.5,Other,7,21,1530
within an hour,86,79,FALSE,51,51,TRUE,Bukit Merah,Central Region,1.27424,103.83431,serviced apartment,Private room,2,1,0,130,6,1125,6,6,1125,1125,6,1125,29,59,89,364,1,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,54,48,6,0,0.07,42,434,NA,1.5,Other,7,23,1530
N/A,NA,100,FALSE,8,8,TRUE,Outram,Central Region,1.28542,103.83565,hostel,Shared room,1,1,1,36,1,365,1,1,365,365,1,365,0,0,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,8,0,0,1,NA,36,297,66,1,Shared,2,7,858
within a few hours,96,49,FALSE,33,33,TRUE,Toa Payoh,Central Region,1.32924,103.8656,condominium,Entire home/apt,6,2,2,198,7,1125,7,7,1125,1125,7,1125,30,60,90,365,1,0,0,80,10,10,10,8,8,8,FALSE,43,43,0,0,0.08,49,1000,371,2,Other,8,18,1914
within an hour,100,60,FALSE,120,120,TRUE,Clementi,West Region,1.31013,103.76107,serviced apartment,Entire home/apt,6,4,4,360,3,1125,3,3,1125,1125,3,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,113,113,0,0,NA,39,977,121,2,Other,4,19,707
within a few hours,96,49,FALSE,33,33,TRUE,Museum,Central Region,1.29724,103.84425,condominium,Entire home/apt,6,2,2,218,10,1125,10,10,1125,1125,10,1125,30,60,90,181,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,43,43,0,0,NA,43,1000,371,1.5,Other,8,18,1914
within an hour,100,89,FALSE,53,53,TRUE,Novena,Central Region,1.3227,103.85362,condominium,Entire home/apt,3,1,1,134,28,1124,28,28,1124,1124,28,1124,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,52,52,0,0,NA,49,1000,357,1.5,Other,7,30,501
a few days or more,0,NA,FALSE,2,2,TRUE,Outram,Central Region,1.28163,103.84015,condominium,Shared room,2,1,1,65,30,1125,30,30,1125,1125,30,1125,28,58,88,363,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,2,0,0,2,NA,50,536,NA,1,Shared,6,9,392
within an hour,86,79,FALSE,51,51,TRUE,Bukit Merah,Central Region,1.27295,103.83319,serviced apartment,Entire home/apt,2,1,1,105,2,1125,2,2,1125,1125,2,1125,29,59,89,364,3,2,0,87,9,9,10,10,7,8,FALSE,54,48,6,0,0.22,45,744,NA,1,Other,7,21,1530
