host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
within an hour,93,48,FALSE,0,0,TRUE,Geylang,Central Region,1.31185,103.88648,house,Entire home/apt,8,4,1,150,30,1125,30,30,1125,1125,30,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,29,29,0,0,NA,31,1000,258,2,Other,7,28,374
within an hour,93,48,FALSE,0,0,TRUE,Geylang,Central Region,1.3115,103.8851,house,Entire home/apt,6,2,1,120,28,1125,28,28,1125,1125,28,1125,30,60,90,365,4,4,0,75,9,7,10,10,10,9,FALSE,29,29,0,0,0.34,46,1000,258,1,Other,7,26,374
within a few hours,100,95,TRUE,25,25,TRUE,River Valley,Central Region,1.30314,103.83168,serviced apartment,Entire home/apt,2,1,1,334,6,1125,6,6,1125,1125,6,1125,9,39,69,318,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,9,9,0,0,NA,38,1000,446,1,Other,9,36,1296
a few days or more,17,77,FALSE,13,13,TRUE,Kallang,Central Region,1.31003,103.87263,hostel,Private room,6,1,6,125,2,1125,2,2,1125,1125,2,1125,30,60,90,365,1,1,0,100,8,10,10,10,10,10,FALSE,11,0,11,0,0.08,43,221,NA,1,Shared,6,11,1906
N/A,NA,88,FALSE,1,1,TRUE,Outram,Central Region,1.28676,103.83587,hotel,Private room,3,1,1,249,1,1125,1,3,1125,1125,1,1125,0,12,42,248,4,3,0,80,10,10,10,9,9,9,TRUE,1,0,1,0,0.32,48,1000,236,1,Private,3,35,403
within an hour,100,60,FALSE,120,120,TRUE,Downtown Core,Central Region,1.274,103.84636,serviced apartment,Entire home/apt,4,2,1,240,90,1125,90,90,1125,1125,90,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,113,113,0,0,NA,50,999,121,2,Other,4,17,707
within an hour,98,95,FALSE,53,53,TRUE,Novena,Central Region,1.32429,103.85556,condominium,Entire home/apt,3,1,2,140,7,1124,7,7,1124,1124,7,1124,30,60,90,365,2,2,1,60,6,6,6,6,6,6,FALSE,49,49,0,0,0.21,33,999,454,1,Other,6,30,2084
within an hour,98,95,FALSE,53,53,TRUE,Novena,Central Region,1.32328,103.85622,condominium,Entire home/apt,3,1,2,135,28,1124,28,28,1124,1124,28,1124,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,49,49,0,0,NA,46,999,454,1,Other,6,31,2084
N/A,NA,100,FALSE,2,2,TRUE,Hougang,North-East Region,1.35318,103.88233,townhouse,Private room,2,1,1,60,90,1125,90,90,1125,1125,90,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,45,520,NA,1.5,Other,9,14,1639
a few days or more,48,55,FALSE,37,37,TRUE,Rochor,Central Region,1.31256,103.85367,condominium,Entire home/apt,6,2,3,277,28,1124,28,28,1124,1124,28,1124,30,60,90,365,1,1,0,100,10,10,10,8,10,8,FALSE,37,37,0,0,0.24,49,1000,294,1,Other,6,30,492
